Epoch	APbb	APbb50	APbb75	APbbs	APbbm	APbbl	AP	AP50	AP75	APs	APm	APl	
0.000000	0.007804	0.019421	0.004809	0.000224	0.002767	0.017819	0.007778	0.016519	0.006751	0.000180	0.001696	0.023826	
1.000000	0.011591	0.028386	0.006787	0.000425	0.004311	0.032801	0.011281	0.025272	0.008737	0.000446	0.003451	0.042836	
2.000000	0.018723	0.043438	0.012368	0.001155	0.007100	0.048420	0.018711	0.039173	0.015740	0.000977	0.005921	0.061676	
3.000000	0.019502	0.043527	0.014338	0.002559	0.008133	0.055102	0.019822	0.039434	0.017459	0.001615	0.006548	0.071112	
4.000000	0.022833	0.051738	0.016561	0.002200	0.012766	0.062673	0.024241	0.048318	0.021316	0.001957	0.011088	0.083554	
5.000000	0.027121	0.061600	0.019526	0.003404	0.012232	0.074631	0.029063	0.056654	0.026880	0.002000	0.010857	0.098382	
6.000000	0.031371	0.066770	0.025004	0.004167	0.013833	0.087129	0.032326	0.062007	0.030607	0.002317	0.011244	0.112222	
7.000000	0.031838	0.069893	0.023193	0.003905	0.017409	0.085146	0.034026	0.063027	0.033577	0.002256	0.015329	0.113142	
8.000000	0.030385	0.066968	0.023581	0.006439	0.018191	0.087748	0.031448	0.060895	0.029173	0.003365	0.014925	0.118449	
9.000000	0.035066	0.072783	0.029250	0.004881	0.018976	0.101188	0.036840	0.067387	0.037309	0.002902	0.017551	0.134038	
10.000000	0.037620	0.077970	0.031373	0.006946	0.019725	0.103942	0.037728	0.072152	0.034958	0.003300	0.017882	0.134477	
11.000000	0.035405	0.074484	0.029501	0.007383	0.020259	0.091813	0.036346	0.067391	0.034779	0.003685	0.018524	0.126213	
12.000000	0.034759	0.077464	0.026606	0.003803	0.021138	0.100176	0.036712	0.070694	0.035307	0.001947	0.019560	0.136835	
13.000000	0.037174	0.077905	0.031820	0.004562	0.019287	0.098064	0.038325	0.071936	0.037102	0.002390	0.018263	0.134945	
